#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.086524    0.086524           0
           2    0.074578    0.080551  0.00422355
           3    0.067086   0.0760627   0.0046215
           4     0.07302    0.075302  0.00352817
           5     0.07284   0.0748096  0.00285669
           6    0.077838   0.0753143  0.00242475
           7    0.088656   0.0772203  0.00272641
           8    0.067896   0.0760547  0.00262293
           9    0.074278   0.0758573  0.00233891
          10      0.0753   0.0758016  0.00210569
          11    0.067162   0.0750162  0.00205553
          12    0.065382   0.0742133  0.00203499
          13    0.082174   0.0748257  0.00196843
          14     0.06528   0.0741439  0.00194233
          15    0.073668   0.0741121   0.0018131
          16    0.077442   0.0743202  0.00171169
          17    0.084936   0.0749447  0.00172114
          18      0.0702   0.0746811  0.00164558
          19    0.077598   0.0748346  0.00156612
          20    0.083728   0.0752793  0.00154965
