#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.359691    0.359691           0
           2    0.359845    0.359768 5.43854e-05
           3    0.358448    0.359328 0.000361125
           4    0.352358    0.357585  0.00153303
           5    0.362352    0.358539   0.0014937
           6    0.352686    0.357563  0.00153048
           7    0.361202    0.358083  0.00139736
           8    0.356662    0.357906  0.00123392
           9    0.365122    0.358707  0.00133209
          10    0.359032     0.35874  0.00119927
          11    0.363277    0.359152    0.001159
          12     0.35508    0.358813    0.001111
          13    0.356829     0.35866  0.00103597
          14    0.346909    0.357821  0.00125681
          15    0.365494    0.358332  0.00127288
          16    0.361887    0.358555  0.00121256
          17    0.344062    0.357702  0.00140942
          18     0.35613    0.357615  0.00133382
          19    0.358808    0.357678   0.0012651
          20    0.361691    0.357878  0.00121765
