#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.285494    0.285494           0
           2    0.281807     0.28365  0.00130351
           3    0.282488    0.283263 0.000924747
           4     0.27922    0.282252  0.00111671
           5    0.279836    0.281769 0.000992404
           6    0.278242    0.281181 0.000985844
           7    0.281888    0.281282 0.000850162
           8    0.284265    0.281655 0.000821577
           9     0.28859    0.282426  0.00103008
          10    0.284734    0.282656  0.00095258
          11    0.281547    0.282556 0.000871304
          12    0.281007    0.282426 0.000808198
          13    0.281198    0.282332 0.000751537
          14    0.283832    0.282439  0.00070545
          15    0.278101     0.28215 0.000715259
          16    0.283925    0.282261 0.000679109
          17    0.282487    0.282274 0.000639291
          18    0.280444    0.282172 0.000611805
          19    0.278897       0.282 0.000603404
          20    0.275634    0.281682   0.0006518
