#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.047946    0.047946           0
           2    0.050316    0.049131 0.000837922
           3    0.051964   0.0500753 0.000952135
           4    0.041116   0.0478355  0.00206702
           5     0.04677   0.0476224  0.00166457
           6      0.0405   0.0464353  0.00176023
           7    0.042022   0.0458049  0.00161775
           8      0.0569   0.0471918  0.00192009
           9    0.053606   0.0479044  0.00183426
          10    0.043162   0.0474302  0.00171104
          11    0.039416   0.0467016  0.00170356
          12    0.043994    0.046476  0.00157646
          13    0.051482   0.0468611  0.00150149
          14    0.055886   0.0475057  0.00152636
          15    0.039664   0.0469829  0.00151148
          16    0.056536     0.04758  0.00153041
          17    0.045396   0.0474515  0.00144576
          18    0.051856   0.0476962    0.001386
          19    0.048278   0.0477268  0.00131339
          20     0.04135    0.047408  0.00128584
