#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.424649    0.424649           0
           2    0.427992    0.426321  0.00118182
           3    0.433902    0.428848  0.00220878
           4    0.413923    0.425117  0.00363133
           5    0.436561    0.427405  0.00355393
           6    0.444064    0.430182  0.00389809
           7    0.421463    0.428936  0.00353463
           8    0.425863    0.428552  0.00311361
           9    0.435786    0.429356  0.00286952
          10    0.422641    0.428684  0.00265998
          11    0.433971    0.429165   0.0024612
          12    0.420484    0.428442  0.00236002
          13    0.417941    0.427634  0.00231259
          14     0.43963    0.428491  0.00230068
          15    0.439921    0.429253  0.00226999
          16    0.436125    0.429682  0.00216838
          17    0.430309    0.429719  0.00204114
          18    0.429637    0.429715  0.00192775
          19    0.425822     0.42951  0.00183714
          20    0.437661    0.429917  0.00178992
