#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.36824     8.36824           0
           2     8.27862     8.32343   0.0316828
           3     8.95555     8.53414    0.173333
           4     8.34537     8.48694    0.136273
           5     8.53278     8.49611    0.109326
           6     9.27941     8.62666     0.15001
           7     9.05464      8.6878    0.140488
           8     8.22792     8.63032    0.134173
           9     8.67502     8.63528    0.119357
          10     9.04163     8.67592    0.114129
          11     8.56229     8.66559     0.10422
          12     8.84719     8.68072   0.0966274
          13     8.75979      8.6868   0.0893858
          14     8.70415     8.68804   0.0830096
          15     9.45972     8.73949   0.0920469
          16     8.57022     8.72891   0.0868998
          17     8.49497     8.71515   0.0828704
          18     8.51338     8.70394    0.079021
          19     9.13748     8.72676    0.078087
          20     8.58327     8.71958   0.0745114
