#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.153974    0.153974           0
           2    0.180688    0.167331  0.00944483
           3    0.132974    0.155879   0.0112731
           4    0.167986    0.158906  0.00885189
           5    0.157502    0.158625  0.00708596
           6    0.159502    0.158771  0.00590648
           7    0.181686    0.162045  0.00590053
           8    0.145796    0.160014  0.00550143
           9    0.187612     0.16308  0.00568087
          10    0.167806    0.163553   0.0051324
          11    0.186114    0.165604  0.00505907
          12    0.173328    0.166247  0.00467825
          13    0.195338    0.168485  0.00482398
          14    0.160888    0.167942  0.00450983
          15    0.165012    0.167747   0.0042134
          16    0.169322    0.167846  0.00395121
          17    0.149122    0.166744  0.00386925
          18    0.184516    0.167731  0.00377816
          19    0.193064    0.169065   0.0038073
          20    0.192324    0.170228   0.0037904
