#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.20074     0.20074           0
           2    0.200397    0.200568 0.000121137
           3    0.197622    0.199586 0.000805876
           4      0.1934     0.19804  0.00146952
           5     0.19402    0.197236  0.00137806
           6    0.199366    0.197591  0.00119323
           7    0.194807    0.197193  0.00108699
           8    0.200008    0.197545  0.00100645
           9    0.199126    0.197721 0.000909817
          10    0.199016     0.19785 0.000828007
          11     0.19353    0.197457 0.000840738
          12    0.197333    0.197447  0.00077074
          13    0.195831    0.197323 0.000721408
          14    0.194051    0.197089 0.000706706
          15    0.198618    0.197191 0.000666901
          16     0.19752    0.197211 0.000625536
          17    0.198763    0.197303 0.000595361
          18      0.2004    0.197475 0.000586628
          19    0.198691    0.197539 0.000559235
          20    0.193199    0.197322 0.000571816
