#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.030876    0.030876           0
           2     0.02945    0.030163 0.000504167
           3    0.029576   0.0299673 0.000372149
           4    0.026286    0.029047  0.00084449
           5    0.022736   0.0277848  0.00131565
           6    0.018234    0.026193  0.00182032
           7    0.025588   0.0261066  0.00156233
           8    0.033796   0.0270678   0.0016362
           9     0.03387   0.0278236  0.00161959
          10    0.031026   0.0281438  0.00148895
          11    0.021388   0.0275296  0.00147483
          12    0.021506   0.0270277  0.00143481
          13    0.034032   0.0275665  0.00142201
          14    0.031996   0.0278829  0.00135518
          15    0.021248   0.0274405  0.00133507
          16    0.036402   0.0280006  0.00136406
          17      0.0273   0.0279594  0.00128445
          18    0.027198   0.0279171  0.00121379
          19    0.024628    0.027744  0.00116218
          20    0.023588   0.0275362   0.0011225
