#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.34951     1.34951           0
           2     1.34464     1.34708  0.00172039
           3     1.34706     1.34707  0.00114694
           4     1.33406     1.34382  0.00294517
           5      1.3275     1.34055  0.00375179
           6     1.34233     1.34085  0.00313815
           7     1.34214     1.34103  0.00269527
           8     1.34055     1.34097  0.00235904
           9     1.37422     1.34467  0.00406531
          10     1.34552     1.34475  0.00365967
          11     1.37213     1.34724  0.00408664
          12     1.37717     1.34974  0.00444247
          13     1.31798     1.34729  0.00472501
          14     1.34745      1.3473  0.00438752
          15     1.33955     1.34679  0.00412535
          16     1.36405     1.34787  0.00400614
          17     1.35895     1.34852  0.00382317
          18     1.38662     1.35064  0.00415554
          19     1.32972     1.34953  0.00408002
          20     1.34769     1.34944  0.00387706
