#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.039516    0.039516           0
           2    0.035556    0.037536  0.00140007
           3     0.04323    0.039434  0.00180909
           4    0.043638    0.040485  0.00163383
           5    0.038546   0.0400972   0.0013523
           6    0.042548   0.0405057  0.00118701
           7    0.038542   0.0402251  0.00105006
           8    0.043502   0.0406348 0.000995492
           9    0.040604   0.0406313 0.000884888
          10    0.030048    0.039573  0.00128153
          11    0.038338   0.0394607  0.00116993
          12    0.030142   0.0386842  0.00130496
          13     0.04225   0.0389585  0.00123307
          14    0.042056   0.0391797  0.00116467
          15    0.039224   0.0391827  0.00108703
          16    0.035268    0.038938  0.00104626
          17    0.032756   0.0385744  0.00104601
          18    0.038768   0.0385851 0.000987952
          19    0.039438     0.03863 0.000936973
          20    0.034732   0.0384351  0.00091017
