#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.8826      1.8826           0
           2     1.88837     1.88549   0.0020398
           3     1.89043     1.88714  0.00191208
           4      1.8863     1.88693  0.00144533
           5     1.92547     1.89464  0.00699064
           6     1.83362     1.88447   0.0109602
           7     1.85997     1.88097  0.00993733
           8     1.88244     1.88115  0.00869686
           9     1.89966     1.88321  0.00796992
          10      1.8841      1.8833  0.00717342
          11     1.91448     1.88613  0.00705913
          12     1.88915     1.88638  0.00647535
          13     1.90968     1.88817  0.00622041
          14      1.9338     1.89143   0.0065747
          15     1.89864     1.89191   0.0061539
          16     1.90464     1.89271  0.00582047
          17     1.87483     1.89166  0.00557227
          18     1.92021     1.89324  0.00548386
          19     1.95452     1.89647  0.00606993
          20     1.91558     1.89742  0.00584119
