#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.248942    0.248942           0
           2    0.247879    0.248411 0.000375811
           3     0.24657    0.247797  0.00056001
           4    0.244806    0.247049 0.000771877
           5    0.247554     0.24715 0.000624054
           6    0.249041    0.247465 0.000594283
           7    0.243066    0.246837 0.000773358
           8     0.25235    0.247526 0.000934588
           9    0.245089    0.247255 0.000869097
          10    0.248635    0.247393 0.000793063
          11    0.247636    0.247415 0.000721273
          12    0.255492    0.248088 0.000923271
          13     0.25082    0.248298 0.000875835
          14    0.252774    0.248618 0.000869667
          15    0.247811    0.248564 0.000813352
          16    0.248967    0.248589 0.000762908
          17    0.244918    0.248373 0.000747978
          18    0.245259      0.2482  0.00072616
          19    0.249913    0.248291 0.000693513
          20    0.249574    0.248355 0.000661799
