#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -51.8479    -51.8479           0
           2    -51.7915    -51.8197   0.0199644
           3    -51.8295     -51.823   0.0135755
           4     -51.801    -51.8175   0.0112349
           5    -51.8119    -51.8164  0.00904285
           6     -51.803    -51.8141  0.00780734
           7    -51.8042    -51.8127  0.00681872
           8    -51.8235    -51.8141  0.00609732
           9    -51.7983    -51.8123  0.00566675
          10    -51.7929    -51.8104  0.00542245
          11    -51.8083    -51.8102  0.00493282
          12    -51.7906    -51.8085   0.0047846
          13    -51.8105    -51.8087  0.00441885
          14    -51.8071    -51.8086   0.0041047
          15    -51.8094    -51.8086  0.00383142
          16    -51.8046    -51.8084  0.00360017
          17    -51.7999    -51.8079   0.0034226
          18    -51.7989    -51.8074  0.00326825
          19    -51.7929    -51.8066  0.00318394
          20    -51.7871    -51.8056  0.00317055
