#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -222.844    -222.844           0
           2    -222.488    -222.666    0.125769
           3    -222.535    -222.623    0.091102
           4    -222.523    -222.598   0.0716582
           5    -222.497    -222.578   0.0600747
           6    -222.538    -222.571   0.0504214
           7    -222.453    -222.554   0.0459257
           8     -222.54    -222.552   0.0402199
           9    -222.464    -222.543   0.0369305
          10    -222.306    -222.519   0.0400885
          11    -222.485    -222.516   0.0365628
          12    -222.414    -222.507   0.0344804
          13    -222.514    -222.508   0.0318313
          14    -222.547    -222.511   0.0296793
          15    -222.529    -222.512    0.027725
          16    -222.555    -222.515    0.026125
          17    -222.413    -222.509   0.0252646
          18    -222.392    -222.502   0.0246812
          19    -222.489    -222.501   0.0233912
          20    -222.403    -222.496   0.0227322
