#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37311     1.37311           0
           2      1.3433     1.35821   0.0105401
           3     1.34346     1.35329  0.00809211
           4     1.36267     1.35564   0.0063998
           5     1.35523     1.35556  0.00512037
           6     1.31325      1.3485  0.00772248
           7     1.35395     1.34928  0.00665828
           8      1.3893     1.35428  0.00747241
           9     1.35998     1.35492  0.00666889
          10     1.32164     1.35159  0.00678144
          11     1.38833     1.35493  0.00693896
          12     1.37779     1.35683  0.00661696
          13     1.35849     1.35696  0.00610919
          14     1.37378     1.35816  0.00578967
          15     1.34877     1.35754  0.00543742
          16     1.35903     1.35763  0.00509838
          17     1.37179     1.35846    0.004866
          18     1.37348      1.3593   0.0046666
          19     1.34012     1.35829  0.00452885
          20     1.38667     1.35971  0.00451927
