#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.0281      0.0281           0
           2    0.027432    0.027766 0.000236174
           3    0.018704   0.0247453  0.00247138
           4    0.029972    0.026052  0.00217167
           5    0.033628   0.0275672   0.0022034
           6    0.034276   0.0286853   0.0021008
           7    0.031898   0.0291443  0.00185014
           8    0.025494    0.028688  0.00167419
           9    0.031916   0.0290467  0.00152611
          10     0.02345    0.028487  0.00147255
          11     0.02333   0.0280182  0.00141134
          12    0.025136    0.027778    0.001314
          13    0.027072   0.0277237  0.00121405
          14    0.029702    0.027865  0.00113553
          15    0.025792   0.0277268   0.0010682
          16    0.027902   0.0277378  0.00100149
          17    0.032346   0.0280088 0.000978581
          18    0.024326   0.0278042 0.000945362
          19    0.034068   0.0281339 0.000951354
          20    0.026288   0.0280416 0.000908252
