#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.09941     0.09941           0
           2    0.085038    0.092224  0.00508127
           3      0.0836   0.0893493  0.00412121
           4    0.075666   0.0859285  0.00428139
           5    0.076556    0.084054  0.00381345
           6    0.072938   0.0822013  0.00359989
           7    0.080286   0.0819277    0.003096
           8     0.09719   0.0838355  0.00324397
           9    0.081848   0.0836147  0.00289104
          10    0.076196   0.0828728  0.00269544
          11    0.068844   0.0815975  0.00273553
          12    0.084512   0.0818403  0.00251832
          13     0.08615   0.0821718  0.00234633
          14    0.096506   0.0831957  0.00239171
          15    0.067042   0.0821188  0.00246281
          16    0.086194   0.0823735  0.00232202
          17    0.072194   0.0817747  0.00226132
          18    0.073304   0.0813041  0.00218411
          19    0.079226   0.0811947  0.00207189
          20    0.075682   0.0809191  0.00198655
