#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.354942    0.354942           0
           2    0.359355    0.357148  0.00155995
           3    0.349896    0.354731  0.00223101
           4    0.358533    0.355682  0.00186478
           5     0.36202    0.356949  0.00187384
           6    0.364719    0.358244  0.00195853
           7    0.349637    0.357015  0.00202834
           8    0.361152    0.357532  0.00183956
           9    0.356421    0.357408   0.0016393
          10    0.352422     0.35691  0.00154934
          11    0.363742    0.357531  0.00152794
          12    0.345907    0.356562  0.00167983
          13    0.355523    0.356482  0.00155251
          14    0.367611    0.357277  0.00163248
          15    0.362815    0.357646  0.00156484
          16    0.354279    0.357436  0.00148112
          17    0.359045    0.357531  0.00139702
          18    0.355552    0.357421  0.00132372
          19    0.363608    0.357746  0.00129348
          20    0.352343    0.357476  0.00125671
