#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.88724     3.88724           0
           2     4.14317      4.0152    0.090487
           3     4.05233     4.02758    0.061165
           4     3.94035     4.00577   0.0496091
           5     4.03484     4.01158   0.0400265
           6     3.97231     4.00504   0.0338863
           7     4.10405     4.01918   0.0318608
           8       4.107     4.03016    0.029709
           9     3.89618     4.01527   0.0299063
          10     3.82341     3.99609   0.0324923
          11      3.7539     3.97407   0.0362381
          12     3.94673     3.97179   0.0332898
          13      3.8734     3.96422   0.0315778
          14     3.93674     3.96226   0.0293831
          15     3.99007     3.96411   0.0274827
          16     4.07591      3.9711   0.0266385
          17      4.1274      3.9803    0.026611
          18     4.13468     3.98887   0.0264786
          19     3.91369     3.98492    0.025379
          20     3.84369     3.97785   0.0250732
