#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     34.6182     34.6182           0
           2     34.4067     34.5124   0.0747814
           3     33.4635     34.1628    0.289789
           4     29.4005     32.9722     1.05372
           5     33.3931     33.0564    0.846328
           6     32.1786     32.9101    0.717808
           7     30.5784      32.577    0.688224
           8     32.3957     32.5543    0.602569
           9     35.6009     32.8929     0.62349
          10     31.8249     32.7861    0.570214
          11     32.7582     32.7835    0.518382
          12     33.1202     32.8116    0.475942
          13     28.8233     32.5048    0.529046
          14     26.7001     32.0902    0.633216
          15     36.1023     32.3576    0.645026
          16      34.858     32.5139    0.623354
          17     31.0276     32.4265    0.592785
          18     32.4132     32.4258    0.559853
          19     36.5833     32.6446    0.571551
          20     32.2203     32.6234    0.543367
