#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449908    0.449908           0
           2    0.435542    0.442725   0.0050794
           3    0.457541    0.447664  0.00526573
           4    0.420584    0.440894  0.00706909
           5    0.449333    0.442582   0.0058533
           6    0.452514    0.444237  0.00510647
           7    0.408106    0.439075   0.0064803
           8    0.431095    0.438078  0.00574654
           9    0.441654    0.438475  0.00512176
          10    0.424606    0.437088  0.00479368
          11    0.427006    0.436172  0.00444465
          12    0.445989     0.43699  0.00414888
          13    0.406296    0.434629  0.00445114
          14    0.397618    0.431985  0.00485521
          15    0.464078    0.434125  0.00498069
          16    0.413521    0.432837  0.00483299
          17    0.411166    0.431562  0.00471382
          18    0.438975    0.431974  0.00446989
          19    0.444472    0.432632  0.00428276
          20    0.452437    0.433622  0.00418153
