#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.528882    0.528882           0
           2    0.603826    0.566354   0.0264967
           3     0.53215    0.554953   0.0199673
           4     0.46792    0.533194   0.0240692
           5    0.506642    0.527884   0.0198326
           6    0.564102     0.53392   0.0174216
           7     0.54871    0.536033   0.0150603
           8    0.494638    0.530859   0.0140386
           9    0.498042    0.527212   0.0129436
          10    0.519938    0.526485   0.0116697
          11     0.62008    0.534994   0.0133552
          12     0.56799    0.537743   0.0125222
          13    0.517024     0.53615   0.0116599
          14    0.459422    0.530669   0.0120464
          15    0.487094    0.527764   0.0115883
          16      0.4905    0.525435   0.0110956
          17    0.551752    0.526983   0.0105504
          18    0.580762    0.529971   0.0103786
          19    0.539962    0.530497  0.00984571
          20    0.538888    0.530916  0.00936236
