#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.04699     0.04699           0
           2    0.043822    0.045406  0.00112006
           3    0.040276    0.043696  0.00158334
           4     0.05486    0.046487  0.00269303
           5    0.046856   0.0465608  0.00215544
           6    0.038862   0.0452777  0.00214438
           7    0.039614   0.0444686  0.00198482
           8    0.053462   0.0455928  0.00203027
           9    0.049468   0.0460233  0.00184978
          10    0.041148   0.0455358  0.00172785
          11    0.045352   0.0455191  0.00157086
          12    0.039142   0.0449877   0.0015272
          13    0.047434   0.0451758  0.00142127
          14    0.048668   0.0454253  0.00134146
          15    0.050332   0.0457524   0.0012913
          16     0.04083   0.0454448   0.0012467
          17    0.053466   0.0459166  0.00125949
          18    0.047212   0.0459886  0.00119158
          19     0.04528   0.0459513  0.00112944
          20     0.04582   0.0459447  0.00107299
