#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.34724     2.34724           0
           2     2.33054     2.33889  0.00590594
           3     2.36329     2.34702   0.0077206
           4     2.34467     2.34643   0.0058128
           5     2.38574      2.3543  0.00843046
           6     2.35977     2.35521  0.00707453
           7     2.35324     2.35493  0.00606947
           8      2.2697     2.34427   0.0112921
           9      2.2811     2.33725   0.0120226
          10      2.4411     2.34764   0.0146331
          11     2.35852     2.34863   0.0133362
          12     2.31436     2.34577   0.0125269
          13     2.34412     2.34564    0.011564
          14     2.37411     2.34768   0.0109152
          15     2.33347     2.34673   0.0102286
          16     2.34533     2.34664  0.00958965
          17     2.30758     2.34435  0.00929675
          18     2.39723     2.34728  0.00923282
          19     2.37026     2.34849  0.00882569
          20     2.38338     2.35024  0.00855504
