#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.28079     0.28079           0
           2    0.281319    0.281055 0.000187238
           3    0.279641    0.280583 0.000404587
           4    0.280815    0.280641  0.00030756
           5    0.282229    0.280959 0.000375853
           6    0.280114    0.280818 0.000338582
           7    0.282862     0.28111 0.000396626
           8    0.280767    0.281067 0.000349356
           9    0.280473    0.281001 0.000316714
          10    0.284475    0.281348 0.000435728
          11    0.279099    0.281144 0.000441487
          12    0.287214     0.28165 0.000631115
          13    0.287062    0.282066 0.000706675
          14    0.285592    0.282318 0.000699632
          15    0.277373    0.281988 0.000726512
          16    0.288956    0.282424 0.000801044
          17    0.280639    0.282319 0.000760771
          18    0.277622    0.282058 0.000761936
          19    0.278782    0.281885 0.000741083
          20    0.288997    0.282241  0.00078471
