T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.0425902	 	0.785086	 	0.578985	 	 -0.430145	 	0.00287876
0.0421643	 	0.832103	 	0.599544	 	 -0.433966	 	0.00351739
0.0417426	 	0.770463	 	0.630271	 	 -0.444822	 	0.00194867
0.0413252	 	0.753764	 	0.63956	 	 -0.430788	 	0.00284986
0.040912	 	0.654846	 	0.632025	 	 -0.377599	 	0.00280782
0.0405028	 	0.8053	 	0.636442	 	 -0.446173	 	0.00254317
0.0400978	 	0.905862	 	0.602422	 	 -0.395846	 	0.00418296
0.0396968	 	0.858584	 	0.622796	 	 -0.428831	 	0.0033787
0.0392999	 	0.792214	 	0.561258	 	 -0.410998	 	0.00355035
0.0389069	 	0.786507	 	0.625808	 	 -0.440576	 	0.00297872
0.0385178	 	0.827756	 	0.685428	 	 -0.408579	 	0.00468205
0.0381326	 	0.68999	 	0.736019	 	 -0.36403	 	0.00500597
0.0377513	 	0.791847	 	0.710793	 	 -0.393519	 	0.00564269
0.0373738	 	0.807982	 	0.633491	 	 -0.442904	 	0.00287862
0.037	 	0.778117	 	0.607722	 	 -0.437406	 	0.00224461
0.03663	 	0.801524	 	0.603565	 	 -0.442846	 	0.00254281
0.0362637	 	0.784816	 	0.581384	 	 -0.434733	 	0.00259662
0.0359011	 	0.676611	 	0.59593	 	 -0.388994	 	0.00275008
0.0355421	 	0.668913	 	0.561567	 	 -0.366274	 	0.00368368
0.0351867	 	0.802309	 	0.642879	 	 -0.436937	 	0.00330229
0.0348348	 	0.82627	 	0.626085	 	 -0.442687	 	0.00264787
0.0344865	 	0.832019	 	0.630172	 	 -0.442772	 	0.00316731
0.0341416	 	0.732152	 	0.64759	 	 -0.422672	 	0.00282694
0.0338002	 	0.832016	 	0.670026	 	 -0.419786	 	0.00435588
0.0334622	 	0.722288	 	0.615886	 	 -0.425573	 	0.00255146
0.0331276	 	0.782403	 	0.675999	 	 -0.415929	 	0.0041865
0.0327963	 	0.752558	 	0.602717	 	 -0.434547	 	0.00252879
0.0324683	 	0.778785	 	0.646741	 	 -0.435332	 	0.00350056
0.0321436	 	0.735217	 	0.686632	 	 -0.412813	 	0.00317234
0.0318222	 	0.768257	 	0.605442	 	 -0.441811	 	0.00238305
0.031504	 	0.725033	 	0.652193	 	 -0.415952	 	0.00262052
0.0311889	 	0.833742	 	0.596659	 	 -0.437981	 	0.00300196
0.030877	 	0.773044	 	0.572	 	 -0.424874	 	0.00300542
0.0305683	 	0.708508	 	0.710256	 	 -0.389612	 	0.00412637
0.0302626	 	0.799819	 	0.687797	 	 -0.416676	 	0.00441984
0.02996	 	0.938913	 	0.629946	 	 -0.365684	 	0.00459634
0.0296604	 	0.896152	 	0.544771	 	 -0.352704	 	0.0042071
0.0293638	 	0.826523	 	0.604541	 	 -0.442589	 	0.00243845
0.0290701	 	0.734669	 	0.650914	 	 -0.427941	 	0.00233791
0.0287794	 	0.77198	 	0.652869	 	 -0.435461	 	0.00308174
0.0284916	 	0.731383	 	0.60318	 	 -0.43343	 	0.0026734
0.0282067	 	0.783952	 	0.6398	 	 -0.436134	 	0.00299423
0.0279246	 	0.784816	 	0.653253	 	 -0.441013	 	0.00269003
0.0276454	 	0.718057	 	0.650919	 	 -0.416719	 	0.00256236
0.0273689	 	0.810575	 	0.694986	 	 -0.404079	 	0.0052001
0.0270953	 	0.742972	 	0.55564	 	 -0.401942	 	0.00335489
0.0268243	 	0.693892	 	0.637865	 	 -0.40566	 	0.00284255
0.0265561	 	0.700908	 	0.655133	 	 -0.405849	 	0.00291002
0.0262905	 	0.669094	 	0.636482	 	 -0.386781	 	0.0030297
0.0260276	 	0.726541	 	0.530812	 	 -0.361577	 	0.00474948
0.0257673	 	0.780932	 	0.583463	 	 -0.434691	 	0.00294853
0.0255096	 	0.770223	 	0.606877	 	 -0.442062	 	0.00233427
0.0252546	 	0.703579	 	0.649491	 	 -0.4125	 	0.00251108
0.025002	 	0.748673	 	0.761654	 	 -0.351515	 	0.00572876
0.024752	 	0.734539	 	0.709983	 	 -0.38876	 	0.00471727
0.0245045	 	0.689581	 	0.651936	 	 -0.403211	 	0.00260257
0.0242594	 	0.731944	 	0.626275	 	 -0.428484	 	0.00208222
0.0240168	 	0.766397	 	0.582089	 	 -0.431509	 	0.00269408
0.0237767	 	0.695221	 	0.65686	 	 -0.407038	 	0.00269374
0.0235389	 	0.737909	 	0.598044	 	 -0.429316	 	0.00230001
0.0233035	 	0.751168	 	0.581213	 	 -0.422877	 	0.0028759
0.0230705	 	0.668246	 	0.569139	 	 -0.368022	 	0.00352649
0.0228398	 	0.782765	 	0.62897	 	 -0.444897	 	0.00251368
0.0226114	 	0.834626	 	0.628598	 	 -0.436435	 	0.00387586
0.0223853	 	0.78948	 	0.662419	 	 -0.430138	 	0.00295154
0.0221614	 	0.696169	 	0.616848	 	 -0.409076	 	0.00267972
0.0219398	 	0.689894	 	0.660032	 	 -0.401188	 	0.00278783
0.0217204	 	0.715169	 	0.604171	 	 -0.4154	 	0.00214979
0.0215032	 	0.860364	 	0.634936	 	 -0.429889	 	0.0027868
0.0212882	 	0.85667	 	0.613609	 	 -0.433902	 	0.00292386
0.0210753	 	0.751576	 	0.613262	 	 -0.433165	 	0.00241015
0.0208645	 	0.806577	 	0.604193	 	 -0.443351	 	0.00243417
0.0206559	 	0.836757	 	0.633059	 	 -0.443079	 	0.00270091
0.0204493	 	0.773369	 	0.630017	 	 -0.437666	 	0.00256657
0.0202448	 	0.84092	 	0.574675	 	 -0.426418	 	0.00315799
0.0200424	 	0.847457	 	0.576606	 	 -0.42124	 	0.00348367
0.0198419	 	0.853978	 	0.572555	 	 -0.416513	 	0.0029824
0.0196435	 	0.85972	 	0.613119	 	 -0.433788	 	0.00356984
0.0194471	 	0.811813	 	0.591741	 	 -0.436918	 	0.0028037
0.0192526	 	0.780821	 	0.584856	 	 -0.438076	 	0.00268598
0.0190601	 	0.78184	 	0.566249	 	 -0.427546	 	0.00310394
0.0188695	 	0.816537	 	0.596152	 	 -0.444235	 	0.00241675
0.0186808	 	0.711457	 	0.577901	 	 -0.404787	 	0.00318583
0.018494	 	0.758561	 	0.611495	 	 -0.435821	 	0.00206994
0.0183091	 	0.800674	 	0.59117	 	 -0.438997	 	0.00275357
0.018126	 	0.880499	 	0.639509	 	 -0.414943	 	0.00338462
0.0179447	 	0.78628	 	0.683977	 	 -0.41707	 	0.00388418
0.0177653	 	0.731288	 	0.642985	 	 -0.426038	 	0.00263275
0.0175876	 	0.757273	 	0.659826	 	 -0.430434	 	0.00362134
0.0174117	 	0.771089	 	0.69882	 	 -0.412164	 	0.00370042
0.0172376	 	0.725836	 	0.610739	 	 -0.419375	 	0.00262245
0.0170652	 	0.701432	 	0.628204	 	 -0.411137	 	0.00239
0.0168946	 	0.792756	 	0.6105	 	 -0.439353	 	0.00274765
0.0167256	 	0.815956	 	0.594532	 	 -0.438844	 	0.00263513
0.0165584	 	0.811757	 	0.676681	 	 -0.423682	 	0.00381724
0.0163928	 	0.729778	 	0.641235	 	 -0.427928	 	0.00250536
0.0162289	 	0.751823	 	0.624297	 	 -0.432692	 	0.00221423
0.0160666	 	0.784532	 	0.643207	 	 -0.445053	 	0.00261071
0.0159059	 	0.79011	 	0.657012	 	 -0.435985	 	0.00306427
0.0157469	 	0.768132	 	0.646388	 	 -0.434336	 	0.00253029
0.0155894	 	0.801392	 	0.645551	 	 -0.439103	 	0.00257785
0.0154335	 	0.833178	 	0.660555	 	 -0.429159	 	0.00386787
0.0152792	 	0.818384	 	0.697783	 	 -0.406012	 	0.00416149
0.0151264	 	0.781062	 	0.671494	 	 -0.419275	 	0.00427855
0.0149751	 	0.801916	 	0.670595	 	 -0.423359	 	0.00371997
0.0148254	 	0.778846	 	0.683601	 	 -0.421855	 	0.00352613
0.0146771	 	0.760114	 	0.695535	 	 -0.416866	 	0.0035549
0.0145303	 	0.776148	 	0.631862	 	 -0.446043	 	0.00239811
0.014385	 	0.771332	 	0.584208	 	 -0.431652	 	0.00373759
0.0142412	 	0.854722	 	0.636609	 	 -0.428538	 	0.00373689
0.0140988	 	0.814712	 	0.662876	 	 -0.426294	 	0.00403117
0.0139578	 	0.804728	 	0.636694	 	 -0.444284	 	0.00305916
0.0138182	 	0.788894	 	0.618313	 	 -0.446083	 	0.00219001
0.01368	 	0.768827	 	0.691411	 	 -0.404668	 	0.00498854
0.0135432	 	0.768692	 	0.640014	 	 -0.438134	 	0.0023867
0.0134078	 	0.755306	 	0.654822	 	 -0.431703	 	0.00313951
0.0132737	 	0.756483	 	0.67927	 	 -0.422182	 	0.00351531
0.013141	 	0.754034	 	0.643617	 	 -0.431933	 	0.00226029
0.0130096	 	0.706512	 	0.639618	 	 -0.410842	 	0.002389
0.0128795	 	0.72188	 	0.640578	 	 -0.418628	 	0.00266988
0.0127507	 	0.753034	 	0.623615	 	 -0.437143	 	0.00260609
0.0126232	 	0.711613	 	0.628538	 	 -0.418419	 	0.00221253
0.0124969	 	0.736149	 	0.647686	 	 -0.425091	 	0.00254991
0.012372	 	0.78177	 	0.674266	 	 -0.422925	 	0.00362221
0.0122482	 	0.801969	 	0.655448	 	 -0.435388	 	0.00301475
0.0121258	 	0.786257	 	0.608679	 	 -0.449369	 	0.00219468
0.0120045	 	0.788028	 	0.597754	 	 -0.44342	 	0.00228396
0.0118845	 	0.768038	 	0.577834	 	 -0.429897	 	0.00320624
0.0117656	 	0.736528	 	0.596351	 	 -0.430029	 	0.00248881
0.011648	 	0.73529	 	0.581955	 	 -0.418014	 	0.00252773
0.0115315	 	0.77313	 	0.577742	 	 -0.436796	 	0.00246772
0.0114162	 	0.776441	 	0.583438	 	 -0.433004	 	0.00275639
0.011302	 	0.743498	 	0.559633	 	 -0.411114	 	0.00352787
0.011189	 	0.739946	 	0.608007	 	 -0.425894	 	0.00247745
0.0110771	 	0.736059	 	0.613755	 	 -0.434824	 	0.00230177
0.0109663	 	0.755385	 	0.604605	 	 -0.434963	 	0.00225232
0.0108567	 	0.731712	 	0.621342	 	 -0.426566	 	0.00266643
0.0107481	 	0.726071	 	0.641075	 	 -0.419757	 	0.00282556
0.0106406	 	0.723108	 	0.629977	 	 -0.424807	 	0.00228778
0.0105342	 	0.714952	 	0.627177	 	 -0.4147	 	0.00248532
0.0104289	 	0.742336	 	0.645022	 	 -0.423189	 	0.00346807
0.0103246	 	0.768408	 	0.616884	 	 -0.43717	 	0.00272676
0.0102213	 	0.772789	 	0.600717	 	 -0.442413	 	0.00247943
0.0101191	 	0.758654	 	0.610319	 	 -0.440203	 	0.00233922
0.0100179	 	0.767369	 	0.629587	 	 -0.437451	 	0.0029411
