#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.18066     0.18066           0
           2     0.17582     0.17824   0.0017112
           3    0.206642    0.187707  0.00781377
           4    0.145678      0.1772   0.0108234
           5    0.145928    0.170946   0.0103086
           6    0.175924    0.171775  0.00862385
           7    0.150646    0.168757  0.00790249
           8    0.204738    0.173255  0.00809401
           9    0.146914    0.170328  0.00770567
          10    0.194044    0.172699  0.00729094
          11    0.162532    0.171775  0.00668646
          12    0.179264    0.172399  0.00615831
          13    0.192896    0.173976  0.00588296
          14    0.192588    0.175305  0.00561096
          15    0.169392    0.174911  0.00525072
          16    0.150848    0.173407  0.00513342
          17    0.150096    0.172036  0.00501125
          18     0.16129    0.171439  0.00476828
          19    0.149698    0.170295  0.00465258
          20    0.158492    0.169705  0.00445722
