#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.429704    0.429704           0
           2    0.413898    0.421801  0.00558848
           3     0.42002    0.421207  0.00375705
           4    0.439921    0.425886  0.00493521
           5    0.414952    0.423699   0.0044061
           6    0.434055    0.425425  0.00399551
           7    0.413204    0.423679  0.00378696
           8    0.421097    0.423356  0.00332731
           9    0.430222    0.424119  0.00304381
          10    0.427792    0.424486  0.00276149
          11    0.422507    0.424307  0.00251631
          12     0.42087     0.42402  0.00232286
          13    0.415381    0.423356  0.00223721
          14    0.433767    0.424099  0.00219755
          15    0.419323    0.423781  0.00207399
          16    0.426527    0.423953  0.00195145
          17    0.432086    0.424431   0.0018944
          18    0.430974    0.424795   0.0018237
          19    0.420503    0.424569  0.00174165
          20    0.427007    0.424691  0.00165883
