#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      8.7915      8.7915           0
           2     7.97757     8.38453     0.28777
           3     8.43299     8.40069    0.192299
           4     8.09331     8.32384    0.158838
           5      8.6086     8.38079      0.1369
           6     8.40225     8.38437     0.11413
           7     8.30896      8.3736   0.0983329
           8     9.40769     8.50286    0.148402
           9     8.52693     8.50553    0.131937
          10     8.18209     8.47319    0.122644
          11     8.85667     8.50805    0.116343
          12      8.5303      8.5099    0.106663
          13     7.80158     8.45542     0.11151
          14     8.74179     8.47587    0.105404
          15     8.30518     8.46449   0.0989895
          16     8.76939     8.48355    0.094619
          17     8.63533     8.49248   0.0894735
          18     8.11051     8.47126   0.0869828
          19     8.83785     8.49055   0.0845176
          20     8.06921     8.46949   0.0828757
