#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     66.1232     66.1232           0
           2     70.8327     68.4779     1.66506
           3        71.8     69.5853     1.43167
           4     77.0295     71.4463     1.93665
           5     68.7042     70.8979     1.62512
           6     75.5051     71.6658     1.52492
           7     79.3049     72.7571     1.65205
           8      84.266     74.1957     1.97497
           9     75.5046     74.3411     1.76087
          10     80.4819     74.9552     1.68847
          11     77.4836     75.1851     1.55054
          12     77.3497     75.3654     1.43178
          13     79.9501     75.7181     1.36439
          14     76.0538     75.7421     1.26714
          15     79.4386     75.9885     1.20639
          16     77.1594     76.0617     1.13321
          17     83.1262     76.4773      1.1402
          18      79.407       76.64     1.08841
          19     73.4497     76.4721       1.044
          20     79.7875     76.6379     1.00487
