#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.412222    0.412222           0
           2    0.386504    0.399363  0.00909285
           3    0.377676    0.392134   0.0084608
           4     0.33673    0.378283   0.0135704
           5    0.384681    0.379563   0.0109165
           6     0.35862    0.376072  0.00963892
           7    0.368381    0.374974  0.00832432
           8    0.287958    0.364097   0.0125129
           9    0.346031    0.362089   0.0112824
          10    0.302289    0.356109   0.0116315
          11    0.343098    0.354926   0.0106341
          12    0.339862    0.353671  0.00982172
          13    0.339354     0.35257  0.00912774
          14    0.329286    0.350907  0.00862594
          15    0.334656    0.349823  0.00811863
          16    0.332174     0.34872  0.00768579
          17     0.30015    0.345863  0.00774654
          18    0.371598    0.347293  0.00744694
          19    0.362232    0.348079  0.00709638
          20    0.306963    0.346023  0.00703304
