#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.303558    0.303558           0
           2    0.271228    0.287393   0.0114304
           3    0.288644     0.28781  0.00762786
           4    0.320022    0.295863  0.00902035
           5    0.316984    0.300087  0.00814554
           6    0.301946    0.300397  0.00679384
           7    0.252308    0.293527  0.00862343
           8    0.225254    0.284993   0.0109846
           9    0.324556    0.289389   0.0106073
          10    0.249836    0.285434   0.0102575
          11    0.281768      0.2851  0.00933044
          12    0.262144    0.283187  0.00874682
          13    0.265408     0.28182  0.00818021
          14    0.261664     0.28038  0.00772156
          15    0.262336    0.279177  0.00729989
          16     0.33283     0.28253  0.00757478
          17     0.26176    0.281309  0.00722707
          18    0.314482    0.283152  0.00705664
          19    0.310076    0.284569  0.00682604
          20    0.286318    0.284656   0.0064853
