#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.450532    0.450532           0
           2    0.456101    0.453317  0.00196896
           3    0.437506    0.448046  0.00449887
           4     0.45178     0.44898  0.00346965
           5    0.459652    0.451114  0.00336883
           6    0.448761    0.450722   0.0028301
           7    0.431753    0.448012  0.00348977
           8    0.466029    0.450264  0.00370974
           9    0.440663    0.449198  0.00344753
          10    0.443234    0.448601  0.00315394
          11    0.447176    0.448472  0.00286988
          12    0.424435    0.446469  0.00325555
          13    0.418748    0.444336  0.00363704
          14    0.441728     0.44415  0.00338202
          15    0.445859    0.444264  0.00315847
          16    0.450588    0.444659  0.00298569
          17     0.44267    0.444542  0.00281236
          18    0.435405    0.444034  0.00270153
          19    0.450728    0.444387  0.00258222
          20    0.453288    0.444832  0.00249117
