#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.4251     15.4251           0
           2     15.1281     15.2766    0.105016
           3     15.4356     15.3296   0.0823081
           4     15.8976     15.4716    0.137597
           5     15.8843     15.5541     0.13254
           6     16.4172      15.698    0.171585
           7     14.5871     15.5393    0.207891
           8     16.4473     15.6528     0.21062
           9     14.5312     15.5282    0.221029
          10     15.0551     15.4809    0.203926
          11     15.6511     15.4963    0.185973
          12     13.9586     15.3682    0.210032
          13     15.5597     15.3829    0.194392
          14     14.5269     15.3218    0.189879
          15     15.3882     15.3262    0.177272
          16     15.9109     15.3628    0.169918
          17     14.9462     15.3382     0.16168
          18     15.8923      15.369    0.155599
          19     15.8536     15.3945    0.149486
          20     15.6869     15.4091    0.142724
