#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.5969      1.5969           0
           2     1.59697     1.59693 2.52529e-05
           3     1.59702     1.59696 3.03045e-05
           4     1.59702     1.59698 2.61035e-05
           5     1.59692     1.59697 2.33955e-05
           6       1.597     1.59697 2.00449e-05
           7     1.59679     1.59695  2.9269e-05
           8     1.59683     1.59693 2.89141e-05
           9     1.59701     1.59694 2.70529e-05
          10     1.59698     1.59694 2.47085e-05
          11     1.59699     1.59695  2.2751e-05
          12     1.59677     1.59693 2.50834e-05
          13     1.59687     1.59693 2.36256e-05
          14     1.59692     1.59693  2.1955e-05
          15     1.59706     1.59694 2.22715e-05
          16     1.59697     1.59694 2.10015e-05
          17     1.59695     1.59694 1.97707e-05
          18     1.59682     1.59693 1.97914e-05
          19     1.59691     1.59693 1.87916e-05
          20     1.59695     1.59693 1.78712e-05
