#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.222867    0.222867           0
           2    0.219996    0.221431  0.00101502
           3    0.221797    0.221553 0.000683955
           4     0.21691    0.220392  0.00112861
           5    0.221397    0.220593 0.000920618
           6    0.218485    0.220242 0.000831533
           7    0.224259    0.220816 0.000889007
           8    0.221674    0.220923 0.000784321
           9      0.2226    0.221109 0.000718965
          10    0.220959    0.221094 0.000647226
          11    0.219681    0.220966    0.000601
          12    0.224023    0.221221 0.000602505
          13    0.222592    0.221326  0.00056532
          14    0.222887    0.221438 0.000535816
          15    0.222879    0.221534 0.000508638
          16    0.218759     0.22136 0.000505555
          17     0.22011    0.221287 0.000481134
          18    0.217532    0.221078  0.00049758
          19    0.222584    0.221157 0.000477661
          20    0.223612     0.22128 0.000469283
