#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     31.0919     31.0919           0
           2     34.6261      32.859     1.24951
           3     33.1004     32.9395     0.83559
           4     32.0582     32.7191    0.655098
           5     30.1834      32.212    0.693123
           6     35.8987     32.8265    0.805143
           7     29.4975     32.3509    0.818613
           8     31.1992     32.2069    0.728834
           9     37.0276     32.7426    0.821425
          10     33.3363     32.8019    0.741425
          11     31.7815     32.7092    0.679802
          12     31.9587     32.6466    0.626022
          13     37.6304       33.03    0.685269
          14     26.5166     32.5647    0.778391
          15     37.2744     32.8787    0.787279
          16     34.1093     32.9556    0.741821
          17     34.8771     33.0687    0.706743
          18     27.9903     32.7865    0.721599
          19     31.4892     32.7182    0.686843
          20     33.1376     32.7392    0.652821
