#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.441898    0.441898           0
           2    0.449162     0.44553  0.00256792
           3    0.419705    0.436922  0.00723413
           4    0.415074     0.43146  0.00719798
           5    0.437329    0.432634  0.00585331
           6    0.432231    0.432567  0.00487814
           7      0.4059    0.428757  0.00547014
           8    0.408246    0.426193   0.0053536
           9    0.461804     0.43015  0.00604664
          10    0.399268    0.427062  0.00618046
          11    0.435635    0.427841  0.00566753
          12    0.419783     0.42717  0.00523487
          13    0.441759    0.428292  0.00495102
          14    0.394314    0.425865  0.00515805
          15    0.436604    0.426581  0.00486361
          16    0.417818    0.426033  0.00459037
          17     0.43565    0.426599  0.00435506
          18    0.382527     0.42415   0.0047518
          19    0.440924    0.425033  0.00458298
          20    0.442559    0.425909  0.00443682
