#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.587582    0.587582           0
           2    0.648762    0.618172   0.0216304
           3    0.569638    0.601994   0.0195558
           4    0.515204    0.580296    0.023837
           5     0.55972    0.576181   0.0194216
           6    0.579526    0.576739   0.0161927
           7    0.535974    0.570915   0.0148898
           8    0.626396     0.57785   0.0145543
           9    0.512586    0.570599   0.0146326
          10    0.530336    0.566572   0.0137121
          11    0.459488    0.556837   0.0155417
          12    0.638442    0.563638   0.0156638
          13    0.587024    0.565437   0.0145618
          14    0.628114    0.569914   0.0141932
          15    0.504646    0.565563    0.013898
          16    0.566034    0.565592   0.0130294
          17    0.542094     0.56421   0.0123361
          18     0.57644    0.564889   0.0116694
          19    0.493794    0.561147   0.0116397
          20    0.569364    0.561558    0.011065
