#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.58751     1.58751           0
           2      1.5832     1.58535  0.00152659
           3     1.59764     1.58945  0.00349484
           4     1.57097     1.58483   0.0047829
           5     1.54339     1.57654  0.00834287
           6     1.56949     1.57537  0.00703473
           7     1.61532     1.58107  0.00801738
           8     1.58294     1.58131  0.00701859
           9     1.61901      1.5855  0.00738405
          10     1.58597     1.58554   0.0066458
          11     1.56013     1.58323  0.00643053
          12     1.60368     1.58494  0.00611615
          13     1.55427     1.58258  0.00608365
          14     1.59198     1.58325  0.00568606
          15     1.57996     1.58303  0.00531122
          16     1.57997     1.58284   0.0049827
          17     1.57306     1.58226  0.00472268
          18     1.64907     1.58597   0.0057363
          19     1.54946     1.58405  0.00574733
          20     1.59891      1.5848  0.00550777
