#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.036456    0.036456           0
           2    0.034488    0.035472 0.000695793
           3    0.036562   0.0358353 0.000550614
           4     0.03123    0.034684  0.00107922
           5    0.031346   0.0340164  0.00104975
           6     0.02379    0.032312  0.00178496
           7     0.03004   0.0319874  0.00155919
           8    0.039192    0.032888  0.00160342
           9    0.039946   0.0336722  0.00160563
          10    0.037096   0.0340146  0.00148112
          11     0.02444   0.0331442  0.00158169
          12    0.030176   0.0328968  0.00146909
          13    0.039474   0.0334028  0.00144057
          14    0.034324   0.0334686  0.00133918
          15     0.02653    0.033006  0.00132739
          16    0.039174   0.0333915   0.0012992
          17     0.03364   0.0334061  0.00122286
          18    0.031816   0.0333178  0.00115811
          19       0.031   0.0331958  0.00110356
          20    0.029046   0.0329883  0.00106771
