#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.13181    -5.13181           0
           2    -5.12781    -5.12981  0.00141128
           3    -5.13099     -5.1302 0.000994308
           4    -5.13064    -5.13031 0.000751718
           5    -5.12983    -5.13022 0.000607608
           6    -5.13012     -5.1302 0.000506539
           7    -5.12944    -5.13009 0.000445548
           8    -5.12921    -5.12998  0.00040334
           9    -5.13005    -5.12999 0.000358597
          10    -5.12791    -5.12978 0.000378058
          11    -5.12875    -5.12969 0.000355239
          12    -5.12925    -5.12965 0.000327479
          13    -5.13061    -5.12972 0.000310439
          14    -5.12952    -5.12971 0.000288606
          15    -5.13034    -5.12975 0.000272394
          16    -5.13158    -5.12987 0.000278259
          17    -5.12896    -5.12981 0.000266896
          18    -5.12897    -5.12977 0.000256131
          19    -5.13053    -5.12981 0.000245755
          20    -5.12892    -5.12976 0.000237441
