1	5.41355	5.41355	0
2	5.34444	5.379	0.0345539
3	5.54606	5.43468	0.0591518
4	5.14931	5.36334	0.0826997
5	5.44725	5.38012	0.0662204
6	5.00629	5.31782	0.0824951
7	5.45765	5.33779	0.0725263
8	5.21648	5.32263	0.0646141
9	5.58405	5.35168	0.0639606
10	5.34984	5.35149	0.0572084
11	5.53634	5.3683	0.054407
12	5.72865	5.39833	0.058039
13	5.4724	5.40402	0.0536914
14	5.10135	5.38241	0.0542064
15	5.27444	5.37521	0.0509741
16	5.05311	5.35508	0.0517574
17	5.61019	5.37008	0.050881
18	5.58853	5.38222	0.0494824
19	5.5692	5.39206	0.0478291
20	5.1222	5.37857	0.0473384
21	5.86303	5.40164	0.0505935
22	5.14769	5.39009	0.0496008
23	5.52332	5.39589	0.0477479
24	4.89723	5.37511	0.0502153
25	5.65732	5.3864	0.04947
26	5.72235	5.39932	0.0492543
27	5.21633	5.39254	0.0478771
28	5.11022	5.38246	0.0472245
29	5.90738	5.40056	0.0490304
30	5.18643	5.39342	0.0479027
31	5.36695	5.39257	0.0463395
32	5.30805	5.38993	0.0449457
33	5.72789	5.40017	0.0447501
34	5.18278	5.39377	0.0438823
35	5.55221	5.3983	0.0428498
36	5.3013	5.39561	0.0417296
37	5.58938	5.40084	0.0409226
38	5.69408	5.40856	0.0405717
39	6.06162	5.42531	0.0429191
40	4.90577	5.41232	0.0438023
41	5.82033	5.42227	0.0438644
42	5.269	5.41862	0.0429625
43	5.49687	5.42044	0.041991
44	5.84167	5.43001	0.0421277
45	5.48912	5.43133	0.0412019
46	5.41706	5.43102	0.0402974
47	5.60572	5.43473	0.0396055
48	5.21043	5.43006	0.0390522
49	5.23011	5.42598	0.038464
50	5.48537	5.42717	0.0377056
51	5.28674	5.42441	0.0370613
52	5.31801	5.42237	0.0363991
53	5.4307	5.42252	0.0357061
54	5.57507	5.42535	0.0351523
55	5.2771	5.42265	0.0346124
56	5.65693	5.42684	0.0342452
57	5.38198	5.42605	0.0336483
58	5.48944	5.42714	0.0330811
59	5.83556	5.43407	0.0332442
60	5.22178	5.43053	0.0328764
61	5.20046	5.42676	0.0325522
62	5.88148	5.43409	0.032852
63	4.84941	5.42481	0.0336321
64	5.80554	5.43076	0.0336328
65	5.24312	5.42787	0.0332369
66	5.65203	5.43127	0.0329052
67	5.58017	5.43349	0.0324865
68	5.4087	5.43313	0.0320072
69	5.18064	5.42947	0.0317515
70	4.97296	5.42295	0.0319669
71	5.27804	5.4209	0.0315795
72	5.71866	5.42504	0.0314112
73	5.57097	5.42704	0.0310424
74	6.01878	5.43504	0.0316469
75	5.258	5.43267	0.0313112
76	5.43215	5.43267	0.0308965
77	5.57816	5.43456	0.0305511
78	5.71678	5.43818	0.0303732
79	5.77778	5.44247	0.0302928
80	5.94604	5.44877	0.0305669
81	5.48868	5.44926	0.0301912
82	5.05311	5.44443	0.0302095
83	5.39378	5.44382	0.0298496
84	5.43089	5.44367	0.0294925
85	5.01484	5.43862	0.0295769
86	5.07291	5.43437	0.0295386
87	5.24555	5.4322	0.0292777
88	5.95911	5.43819	0.029556
89	5.53538	5.43928	0.0292424
90	6.05999	5.44618	0.0297267
91	6.02145	5.4525	0.0300703
92	4.95111	5.44705	0.0302368
93	5.44961	5.44707	0.0299099
94	5.22934	5.44476	0.0296806
95	5.41472	5.44444	0.0293682
96	5.87645	5.44894	0.029407
97	4.9873	5.44418	0.0294888
98	5.41407	5.44388	0.029188
99	5.21937	5.44161	0.0289805
100	6.2363	5.44955	0.0297696
