# BLOCK	ACCEPTANCE
1	0.5582
2	0.5391
3	0.5667
4	0.5526
5	0.5551
6	0.5499
7	0.56
8	0.5487
9	0.559
10	0.5528
11	0.553
12	0.5468
13	0.5531
14	0.5606
15	0.5534
16	0.5543
17	0.557
18	0.5492
19	0.5609
20	0.5555
21	0.5616
22	0.5626
23	0.558
24	0.5606
25	0.554
26	0.5539
27	0.5608
28	0.5589
29	0.5552
30	0.5608
31	0.5471
32	0.5641
33	0.5589
34	0.5539
35	0.5606
36	0.5587
37	0.5579
38	0.5533
39	0.5554
40	0.5538
41	0.5577
42	0.5527
43	0.5574
44	0.5563
45	0.5564
46	0.5603
47	0.5528
48	0.5616
49	0.5569
50	0.5563
51	0.5487
52	0.5563
53	0.5627
54	0.5501
55	0.5567
56	0.5548
57	0.5649
58	0.5516
59	0.5485
60	0.5608
61	0.5617
62	0.5547
63	0.5594
64	0.5592
65	0.5586
66	0.5495
67	0.557
68	0.5635
69	0.5545
70	0.5525
71	0.5533
72	0.5488
73	0.5535
74	0.5549
75	0.5547
76	0.5571
77	0.5572
78	0.559
79	0.5561
80	0.554
81	0.5583
82	0.552
83	0.5578
84	0.5631
85	0.5701
86	0.5535
87	0.5543
88	0.5517
89	0.5525
90	0.5492
91	0.5655
92	0.5541
93	0.5487
94	0.5572
95	0.5636
96	0.5581
97	0.5608
98	0.553
99	0.5536
100	0.5569
