# BLOCK	ACCEPTANCE
1	0.4091
2	0.4131
3	0.4055
4	0.4127
5	0.4054
6	0.412
7	0.4041
8	0.4111
9	0.4098
10	0.4072
11	0.3974
12	0.4118
13	0.408
14	0.4138
15	0.4058
16	0.4163
17	0.4092
18	0.4113
19	0.4183
20	0.4104
21	0.4107
22	0.4062
23	0.4182
24	0.4124
25	0.4074
26	0.4073
27	0.4186
28	0.4114
29	0.4112
30	0.407
31	0.417
32	0.4047
33	0.4076
34	0.4161
35	0.419
36	0.4065
37	0.4126
38	0.4073
39	0.4126
40	0.4073
41	0.4085
42	0.4061
43	0.406
44	0.4136
45	0.4142
46	0.3961
47	0.4267
48	0.4048
49	0.4109
50	0.409
51	0.4116
52	0.4086
53	0.4141
54	0.4159
55	0.4116
56	0.4065
57	0.4076
58	0.4104
59	0.4014
60	0.4146
61	0.4185
62	0.4091
63	0.4192
64	0.4099
65	0.4135
66	0.4168
67	0.4181
68	0.4091
69	0.4195
70	0.403
71	0.4095
72	0.4183
73	0.4063
74	0.414
75	0.413
76	0.4117
77	0.4138
78	0.4015
79	0.417
80	0.4135
81	0.4005
82	0.409
83	0.4117
84	0.4094
85	0.4011
86	0.4091
87	0.4085
88	0.4071
89	0.4167
90	0.4149
91	0.4125
92	0.4119
93	0.4056
94	0.4096
95	0.411
96	0.407
97	0.4097
98	0.4088
99	0.4099
100	0.4064
