# x	|psi(x)|^2
-1.14127	0.923478
-1.14127	0.923478
1.0083	1.00035
1.0083	1.00035
1.0083	1.00035
1.0083	1.00035
0.00592187	0.0732934
0.915438	0.973085
0.915438	0.973085
0.258301	0.140578
-1.21827	0.826581
-1.21827	0.826581
-1.21827	0.826581
-1.21827	0.826581
-1.21827	0.826581
1.16928	0.891852
1.16928	0.891852
1.16928	0.891852
0.83563	0.89981
0.837158	0.901583
0.837158	0.901583
1.61702	0.218092
1.07166	0.980038
1.56776	0.275436
1.56776	0.275436
1.06813	0.981987
-1.23321	0.80458
-1.23321	0.80458
-0.959957	0.994525
-0.959957	0.994525
-0.959957	0.994525
-0.959957	0.994525
0.93833	0.985985
0.93833	0.985985
0.93833	0.985985
-0.926618	0.979872
-0.926618	0.979872
-0.926618	0.979872
-0.926618	0.979872
-1.78507	0.0849792
-1.78507	0.0849792
-1.70999	0.133138
-2.00816	0.017154
-0.602755	0.540545
-0.602755	0.540545
-1.3695	0.579206
0.957332	0.993682
0.957332	0.993682
1.01433	0.999777
1.01433	0.999777
1.01433	0.999777
-0.554114	0.462256
-1.55596	0.290436
-1.55596	0.290436
-1.55596	0.290436
-1.55596	0.290436
-1.48321	0.392995
-1.48321	0.392995
-1.48321	0.392995
-1.25241	0.775114
-1.00617	1.00049
1.06198	0.985154
0.418469	0.27704
1.54049	0.31083
0.768548	0.810576
0.768548	0.810576
1.06093	0.985668
0.897881	0.960602
0.897881	0.960602
0.897881	0.960602
1.11925	0.944953
-1.10048	0.960708
-0.425514	0.285148
-0.291767	0.161798
1.69121	0.147921
0.982423	0.999536
0.982423	0.999536
-0.960704	0.994756
-0.960704	0.994756
-0.960704	0.994756
0.995451	1.00061
0.995451	1.00061
0.995451	1.00061
0.995451	1.00061
0.4773	0.350144
1.10107	0.960247
1.10107	0.960247
1.09619	0.963963
1.09619	0.963963
1.09619	0.963963
1.09619	0.963963
1.09619	0.963963
1.09619	0.963963
0.921382	0.976808
0.921382	0.976808
0.496033	0.375885
0.496033	0.375885
0.555529	0.464468
0.555529	0.464468
0.555529	0.464468
0.878597	0.94442
0.878597	0.94442
0.878597	0.94442
-0.925307	0.979124
-0.925307	0.979124
-0.925307	0.979124
-0.670698	0.654142
-0.670698	0.654142
-0.670698	0.654142
-0.670698	0.654142
0.594939	0.527698
-0.797683	0.851849
-0.826859	0.889378
1.26605	0.753486
1.50656	0.358296
1.50656	0.358296
0.540124	0.440633
1.11771	0.946337
1.11771	0.946337
1.11771	0.946337
1.11771	0.946337
1.11771	0.946337
-0.705595	0.712028
-0.705595	0.712028
0.569875	0.487145
0.569875	0.487145
0.569875	0.487145
0.569875	0.487145
0.569875	0.487145
0.121478	0.0866941
1.88445	0.0437599
0.104229	0.083063
-0.417267	0.275674
1.99342	0.0193029
1.99342	0.0193029
1.94369	0.0283759
0.756231	0.792168
0.756231	0.792168
1.31702	0.669019
-0.943596	0.988396
-1.06398	0.984153
-0.607238	0.547949
-1.34707	0.617679
-1.34707	0.617679
-1.34707	0.617679
-1.34707	0.617679
-0.920757	0.976429
0.787711	0.838112
0.787711	0.838112
0.787711	0.838112
-0.0193913	0.0735934
1.07705	0.976884
1.07705	0.976884
1.07705	0.976884
-1.13753	0.927337
-1.13753	0.927337
-1.13753	0.927337
-1.13753	0.927337
-1.13753	0.927337
-1.29404	0.707681
-1.29404	0.707681
-1.12138	0.943007
-1.12138	0.943007
-1.12138	0.943007
-1.12138	0.943007
-1.12138	0.943007
-1.12138	0.943007
-1.12138	0.943007
-1.12138	0.943007
-1.12138	0.943007
0.537186	0.436151
0.356407	0.213415
0.356407	0.213415
0.356407	0.213415
0.356407	0.213415
0.92295	0.977747
0.92295	0.977747
0.92295	0.977747
0.92295	0.977747
0.92295	0.977747
0.92295	0.977747
-1.07983	0.975174
-1.07983	0.975174
-1.07983	0.975174
-1.07983	0.975174
-1.07983	0.975174
-1.07983	0.975174
0.630202	0.586186
-1.22132	0.822163
1.05391	0.988874
-0.50253	0.385071
-0.50253	0.385071
-0.50253	0.385071
-0.50253	0.385071
0.302165	0.169131
-1.50565	0.359611
-1.35427	0.605321
0.808695	0.866501
-0.952501	0.991989
1.13564	0.929262
-1.21306	0.834052
-1.21306	0.834052
-1.21306	0.834052
-1.21306	0.834052
-1.21306	0.834052
-1.21306	0.834052
-1.21306	0.834052
0.598916	0.534225
0.564572	0.478712
-1.11013	0.952908
-1.11013	0.952908
-1.11013	0.952908
-1.11013	0.952908
-1.11013	0.952908
0.194113	0.109276
1.17149	0.889174
1.17149	0.889174
1.17149	0.889174
1.17149	0.889174
1.17149	0.889174
1.17149	0.889174
1.17149	0.889174
-0.596099	0.5296
-1.19812	0.854815
-1.19812	0.854815
-1.24637	0.784501
-1.24637	0.784501
-1.06321	0.984542
-0.0457034	0.0751083
1.55352	0.293605
1.55352	0.293605
1.55352	0.293605
1.55352	0.293605
1.55352	0.293605
1.55352	0.293605
1.55352	0.293605
1.13801	0.926851
1.13801	0.926851
1.13801	0.926851
0.261411	0.142401
1.40085	0.525874
1.40085	0.525874
1.40085	0.525874
1.40085	0.525874
1.40085	0.525874
1.40085	0.525874
-0.79981	0.854723
-0.79981	0.854723
-0.79981	0.854723
-0.79981	0.854723
-0.79981	0.854723
-0.79981	0.854723
-0.974063	0.998136
0.836028	0.900272
0.727932	0.748131
0.727932	0.748131
0.652301	0.623269
0.652301	0.623269
0.965813	0.996214
-1.16076	0.901955
-1.16076	0.901955
0.953615	0.992395
1.22229	0.820749
1.22229	0.820749
1.11437	0.949275
1.11437	0.949275
-0.720824	0.73675
-0.398579	0.255118
-1.4197	0.494322
-1.34363	0.623581
-1.19943	0.853043
-1.19943	0.853043
-1.19943	0.853043
-1.19943	0.853043
-1.19943	0.853043
-1.19943	0.853043
-1.19943	0.853043
0.972301	0.997771
0.972301	0.997771
0.972301	0.997771
0.972301	0.997771
0.972301	0.997771
1.30191	0.694511
1.30191	0.694511
1.30191	0.694511
1.27872	0.73295
1.27872	0.73295
0.584639	0.510903
-1.23781	0.797628
-1.23781	0.797628
-1.23781	0.797628
-1.23781	0.797628
-1.23781	0.797628
-0.735865	0.760693
1.1994	0.853078
-0.698162	0.699819
-0.698162	0.699819
1.35869	0.597742
1.35869	0.597742
0.993698	1.00055
0.719769	0.735053
0.719769	0.735053
-1.17993	0.878672
-1.17993	0.878672
-1.17993	0.878672
-1.17993	0.878672
-0.986119	0.999979
-1.26897	0.748794
-1.26897	0.748794
0.669692	0.652457
0.669692	0.652457
