# x	|psi(x)|^2
-0.0823749	1.47151
-0.0823749	1.47151
-0.0823749	1.47151
-0.0823749	1.47151
1.17298	1.16529
-1.22416	1.12251
-1.22416	1.12251
-1.07323	1.24079
-0.354416	1.46778
1.47688	0.881826
1.07577	1.239
1.07577	1.239
1.07577	1.239
1.07577	1.239
0.931712	1.32814
0.931712	1.32814
0.983231	1.29912
0.983231	1.29912
-0.432729	1.46335
-0.432729	1.46335
-0.210196	1.47104
-0.88688	1.35079
-0.88688	1.35079
-0.402201	1.46538
1.99716	0.383723
1.99716	0.383723
1.99716	0.383723
1.99716	0.383723
1.57577	0.78058
-1.00376	1.28667
-0.98184	1.29995
-0.98184	1.29995
-0.98184	1.29995
0.461049	1.46106
-1.16094	1.17497
0.247662	1.47061
0.247662	1.47061
0.268062	1.47028
2.12089	0.292925
2.12089	0.292925
2.12089	0.292925
0.784613	1.39359
0.784613	1.39359
0.784613	1.39359
-1.60076	0.754936
-0.685242	1.42416
0.183174	1.47124
-0.824438	1.37835
-0.824438	1.37835
-0.475659	1.45972
-0.688771	1.42324
-0.688771	1.42324
-0.234109	1.47079
1.23646	1.11185
0.26668	1.4703
0.26668	1.4703
-1.68982	0.664398
-0.144047	1.47141
-0.328439	1.46875
1.74918	0.605517
1.31357	1.04212
1.31357	1.04212
1.31357	1.04212
-0.65792	1.43083
0.0916249	1.4715
-2.06426	0.332643
-0.265713	1.47032
-0.265713	1.47032
0.440639	1.46275
-0.775953	1.39667
-0.775953	1.39667
-0.775953	1.39667
-0.775953	1.39667
-1.23493	1.11319
-1.23493	1.11319
-0.435196	1.46316
-0.435196	1.46316
0.962321	1.31129
0.471461	1.46012
0.471461	1.46012
0.471461	1.46012
0.972189	1.30561
-1.25225	1.09797
0.25019	1.47057
-1.17801	1.1612
1.45254	0.90647
-0.582237	1.44587
1.14185	1.19001
0.301209	1.46955
0.301209	1.46955
0.734178	1.41038
-1.01939	1.27684
-1.01939	1.27684
-1.02771	1.27149
-1.85751	0.502984
-1.85751	0.502984
-1.9795	0.397873
-1.65922	0.69529
0.0998885	1.47149
0.0998885	1.47149
-0.60511	1.44183
-0.60511	1.44183
-1.34376	1.01359
-0.198945	1.47114
-0.198945	1.47114
-0.198945	1.47114
1.54299	0.814242
-0.302879	1.4695
-0.302879	1.4695
1.88776	0.475784
1.88776	0.475784
1.88776	0.475784
1.49564	0.862727
-1.06938	1.24348
0.0351663	1.47152
0.0351663	1.47152
-0.558911	1.44957
0.0129001	1.47152
-1.95946	0.414277
-1.95946	0.414277
-1.95946	0.414277
-1.95946	0.414277
-1.95946	0.414277
0.240386	1.47071
-1.42422	0.934892
-0.470821	1.46018
-0.470821	1.46018
-0.722336	1.41394
1.16863	1.1688
1.16863	1.1688
1.16863	1.1688
-0.585017	1.4454
-0.585017	1.4454
0.55076	1.45077
0.55076	1.45077
0.55076	1.45077
1.34964	1.00796
1.34964	1.00796
-0.197042	1.47115
0.340478	1.46832
0.340478	1.46832
-1.89416	0.470126
-2.99769	0.0185775
-2.93224	0.024044
-2.93224	0.024044
-0.444955	1.46241
-0.203383	1.4711
-0.203383	1.4711
-0.203383	1.4711
-0.203383	1.4711
-0.620668	1.43884
-1.05322	1.25459
-0.936397	1.32564
-0.936397	1.32564
-0.751516	1.40492
0.953592	1.31621
1.17687	1.16213
1.62092	0.734298
1.49729	0.861047
1.49729	0.861047
1.49729	0.861047
-0.715032	1.41606
-0.715032	1.41606
0.216881	1.47098
-0.817217	1.38125
-0.817217	1.38125
1.74601	0.608618
1.74601	0.608618
0.644682	1.43382
2.06967	0.328712
1.30552	1.04962
1.23803	1.11048
1.23803	1.11048
0.505699	1.45657
1.49118	0.867277
-0.235411	1.47078
0.345738	1.46813
0.345738	1.46813
-1.42647	0.932642
-0.801939	1.38718
1.45274	0.90627
0.294889	1.46971
-0.533979	1.45309
-1.36799	0.99026
-1.36799	0.99026
-1.36799	0.99026
-1.36799	0.99026
-1.36799	0.99026
1.27013	1.082
1.27013	1.082
1.27013	1.082
-0.887761	1.35037
-0.887761	1.35037
1.44125	0.917841
-1.08042	1.23572
-0.45679	1.46143
-1.01142	1.28189
-0.871376	1.35806
1.23276	1.11507
1.23276	1.11507
1.33788	1.01919
1.49163	0.866819
-0.757458	1.40297
-1.53392	0.823553
-0.146866	1.4714
-0.146866	1.4714
0.829838	1.37615
1.63987	0.714956
1.65047	0.704169
1.65047	0.704169
1.65047	0.704169
-0.807695	1.38498
1.15627	1.17868
0.723358	1.41364
0.723358	1.41364
0.763757	1.40086
0.763757	1.40086
-0.802802	1.38685
1.23067	1.11688
1.23067	1.11688
-1.02807	1.27126
0.366674	1.46724
1.23685	1.11151
1.23685	1.11151
1.666	0.688421
1.27985	1.07321
1.27985	1.07321
1.27985	1.07321
2.48521	0.111692
2.43129	0.130915
2.43129	0.130915
0.41944	1.46428
1.18401	1.15628
-0.444147	1.46248
-0.97866	1.30183
1.54325	0.813981
1.54325	0.813981
0.609095	1.44108
0.609095	1.44108
-0.728074	1.41223
-0.10384	1.47149
-0.453346	1.46173
-0.270955	1.47022
-0.270955	1.47022
-0.270955	1.47022
-0.270955	1.47022
-0.270955	1.47022
0.482647	1.45903
0.583058	1.44573
-0.225776	1.47089
-0.120656	1.47147
-0.728964	1.41197
0.456188	1.46149
0.456188	1.46149
0.76314	1.40107
-1.02315	1.27444
-1.02315	1.27444
-0.149419	1.4714
-0.0145593	1.47152
-0.0145593	1.47152
-0.0145593	1.47152
-0.0145593	1.47152
-0.0145593	1.47152
-1.84201	0.517182
-0.656956	1.43105
1.63579	0.719107
0.950584	1.31788
-1.60888	0.746609
-0.698977	1.42053
1.00177	1.2879
-0.203677	1.4711
-0.203677	1.4711
0.26247	1.47038
0.26247	1.47038
0.45953	1.4612
0.45953	1.4612
0.45953	1.4612
0.45953	1.4612
1.47904	0.87964
1.91272	0.453889
1.99242	0.387495
1.99242	0.387495
0.795445	1.38962
0.795445	1.38962
-1.12633	1.20195
-1.12633	1.20195
-1.12633	1.20195
0.141398	1.47142
0.190929	1.4712
0.853852	1.36594
-0.514745	1.45551
-0.514745	1.45551
1.56956	0.786956
0.00960044	1.47152
2.09325	0.311918
1.49453	0.863858
-0.950853	1.31774
-0.950853	1.31774
-1.33468	1.02224
-2.24734	0.21575
-1.09427	1.22578
-1.09427	1.22578
1.05267	1.25496
-0.295562	1.46969
-0.295562	1.46969
-0.565782	1.44852
0.923061	1.3327
1.23096	1.11663
1.23096	1.11663
1.8981	0.466656
1.8981	0.466656
2.06612	0.331289
0.00118548	1.47152
0.554522	1.45022
-0.164395	1.47134
-0.164395	1.47134
-1.19468	1.14746
-0.250891	1.47056
0.444316	1.46246
0.444316	1.46246
-0.844083	1.37017
-1.29184	1.06225
-1.60307	0.752563
-1.88164	0.481229
-1.88164	0.481229
-1.88164	0.481229
-1.53167	0.825865
-2.13117	0.286055
-2.13117	0.286055
-0.891795	1.34842
-0.891795	1.34842
-0.752787	1.4045
-0.752787	1.4045
-0.752787	1.4045
0.55571	1.45005
0.96359	1.31056
-0.597632	1.4432
-0.597632	1.4432
0.637129	1.43545
0.637129	1.43545
-0.0664245	1.47151
-0.0664245	1.47151
-0.221831	1.47093
1.49216	0.866279
-0.301168	1.46955
1.04229	1.26193
2.09779	0.308745
2.09779	0.308745
2.09779	0.308745
0.213395	1.47102
0.213395	1.47102
-0.770339	1.39862
-1.24311	1.10603
1.4289	0.93022
1.92472	0.44354
1.41286	0.946201
1.32117	1.03499
1.32117	1.03499
1.32117	1.03499
0.261653	1.47039
-1.28211	1.07115
1.15374	1.18069
1.15374	1.18069
-0.112426	1.47148
-2.13123	0.286016
-2.13123	0.286016
-0.356267	1.4677
-0.356267	1.4677
-1.3779	0.980619
-1.3779	0.980619
1.24554	1.1039
1.24554	1.1039
1.24554	1.1039
1.24554	1.1039
-0.353733	1.46781
-0.353733	1.46781
-0.123947	1.47146
-0.123947	1.47146
-0.123947	1.47146
-1.70296	0.651245
-1.544	0.813206
-1.544	0.813206
-1.544	0.813206
0.500044	1.4572
0.166054	1.47133
-0.362848	1.46742
0.771784	1.39812
-0.903887	1.34248
