# BLOCK	ACCEPTANCE
1	0.6116
2	0.6123
3	0.6089
4	0.6095
5	0.6103
6	0.6124
7	0.6077
8	0.6094
9	0.6133
10	0.6016
11	0.6049
12	0.6132
13	0.6123
14	0.6053
15	0.6183
16	0.6158
17	0.6096
18	0.6053
19	0.6086
20	0.6061
21	0.6145
22	0.6097
23	0.6058
24	0.6178
25	0.6171
26	0.6052
27	0.6103
28	0.611
29	0.6046
30	0.6
31	0.6092
32	0.6086
33	0.6077
34	0.6153
35	0.6146
36	0.6115
37	0.6162
38	0.6062
39	0.6068
40	0.6049
41	0.617
42	0.6141
43	0.6087
44	0.6061
45	0.6015
46	0.6192
47	0.6037
48	0.6032
49	0.6052
50	0.6109
51	0.6073
52	0.6065
53	0.6086
54	0.5997
55	0.6057
56	0.5985
57	0.6067
58	0.6119
59	0.6022
60	0.6056
61	0.6058
62	0.6163
63	0.6085
64	0.6176
65	0.6067
66	0.6145
67	0.6177
68	0.6104
69	0.6056
70	0.6073
71	0.6123
72	0.6075
73	0.6139
74	0.6087
75	0.6065
76	0.6136
77	0.605
78	0.6094
79	0.6153
80	0.6122
81	0.6133
82	0.6091
83	0.6011
84	0.6066
85	0.6066
86	0.6146
87	0.6156
88	0.6121
89	0.6096
90	0.6089
91	0.6112
92	0.6045
93	0.6056
94	0.6093
95	0.5972
96	0.6024
97	0.6106
98	0.6062
99	0.616
100	0.6041
