#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.95736     2.95736           0
           2     2.94673     2.95204  0.00375979
           3     2.92601     2.94337  0.00751444
           4     2.97691     2.95175  0.00919238
           5     2.82009     2.92542   0.0246741
           6     3.01035     2.93957    0.024285
           7     2.92749     2.93785    0.020877
           8     2.98685     2.94397   0.0191448
           9     2.86001     2.93464   0.0191563
          10     2.92753     2.93393   0.0172538
          11      2.9326     2.93381   0.0156857
          12     2.93833     2.93419   0.0143831
          13      2.9853     2.93812   0.0138036
          14     2.89875     2.93531   0.0131009
          15     2.80537     2.92664    0.014817
          16     2.90788     2.92547   0.0139373
          17     2.91926     2.92511   0.0131222
          18     3.01149     2.92991   0.0132417
          19     2.94929     2.93093    0.012584
          20     2.83635      2.9262   0.0128125
