#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.059578    0.059578           0
           2     0.05173    0.055654  0.00277469
           3    0.048914   0.0534073  0.00260514
           4    0.065362    0.056396  0.00324294
           5    0.067032   0.0585232  0.00321724
           6    0.061136   0.0589587  0.00271034
           7    0.047972   0.0573891  0.00274017
           8    0.060898   0.0578278   0.0024325
           9    0.061774   0.0582662  0.00220138
          10    0.058448   0.0582844  0.00198132
          11    0.064322   0.0588333  0.00187569
          12    0.054904   0.0585058  0.00174773
          13    0.058004   0.0584672  0.00161371
          14     0.06156   0.0586881  0.00151349
          15    0.050374   0.0581339  0.00151068
          16    0.060952     0.05831  0.00142649
          17    0.054458   0.0580834  0.00136046
          18    0.060352   0.0582094   0.0012907
          19    0.058444   0.0582218  0.00122283
          20    0.058002   0.0582108  0.00116174
