#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.331511    0.331511           0
           2    0.326122    0.328816  0.00190539
           3    0.367796    0.341809   0.0106847
           4    0.350678    0.344026  0.00824033
           5    0.324373    0.340096  0.00747111
           6     0.33948    0.339993  0.00622663
           7    0.371581    0.344506   0.0067778
           8    0.311284    0.340353  0.00708947
           9    0.328471    0.339033   0.0064235
          10     0.28494    0.333624  0.00773019
          11    0.285913    0.329286  0.00815395
          12    0.328077    0.329185  0.00747508
          13    0.340723    0.330073  0.00695255
          14    0.337061    0.330572  0.00647383
          15    0.300672    0.328579  0.00634171
          16    0.277916    0.325412   0.0066893
          17     0.26546    0.321886  0.00716537
          18    0.366755    0.324378  0.00718783
          19     0.31659    0.323969   0.0068212
          20    0.368877    0.326214  0.00683975
