#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     78.5139     78.5139           0
           2     79.2175     78.8657    0.248766
           3     75.1446     77.6253     1.02623
           4     75.8393     77.1788    0.861352
           5     80.1214     77.7673     0.86713
           6     77.0427     77.6466    0.730971
           7     73.2553     77.0192    0.854332
           8      81.069     77.5255    0.884896
           9     80.9253     77.9032    0.863449
          10     83.2131     78.4342    0.926093
          11     83.7927     78.9213    0.961525
          12     78.9837     78.9265    0.881412
          13     77.5015     78.8169    0.820399
          14     75.0442     78.5474    0.804841
          15     83.9443     78.9072    0.827706
          16     83.5527     79.1976    0.825328
          17     84.8066     79.5275    0.840145
          18     71.7934     79.0978    0.896638
          19      80.332     79.1628    0.851796
          20     76.4382     79.0266    0.820027
