#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.935662    0.935662           0
           2    0.914502    0.925082  0.00748119
           3    0.822726    0.890963   0.0283007
           4     0.85609    0.882245   0.0225284
           5    0.834578    0.872712   0.0199381
           6    0.854366    0.869654   0.0168479
           7     0.86045    0.868339   0.0144923
           8    0.896448    0.871853   0.0130998
           9    0.922398    0.877469   0.0127916
          10    0.903352    0.880057   0.0117714
          11     0.89837    0.881722   0.0108183
          12    0.927894     0.88557   0.0105789
          13      0.9013     0.88678  0.00983413
          14     0.93853    0.890476  0.00980181
          15    0.872544    0.889281  0.00922097
          16     0.94206    0.892579  0.00921583
          17    0.938718    0.895293  0.00906456
          18    0.836806    0.892044  0.00912478
          19    0.952824    0.895243  0.00918817
          20    0.910924    0.896027  0.00876215
