# VELOCITY:     AVE_POFV:        ERROR:
    0.686731    0.738124   0.0251485
    0.839338    0.761594   0.0286097
    0.991945    0.691622   0.0397431
     1.14455    0.652377   0.0487854
     1.29716    0.561146   0.0572743
     1.44977    0.459616   0.0577279
     1.60237    0.295304   0.0414487
     1.75498    0.209674   0.0343831
     1.90759    0.170334   0.0290965
     2.06019    0.098523   0.0175123
      2.2128   0.0568894   0.0110791
     2.36541   0.0306555  0.00594529
     2.51802    0.019992   0.0052511
     2.67062   0.0103221  0.00272441
     2.82323  0.00965473  0.00250843
     2.97584   0.0039476   0.0012315
     3.12844  0.00191502 0.000777587
     3.28105  0.00128553 0.000887711
     3.43366 0.000261656 0.000214175
     3.58626           0           0
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.193749    0.120419
     0.22891    0.320672   0.0937286
    0.381517    0.521391   0.0642864
    0.534124    0.632549   0.0441671
    0.686731     0.71581    0.030697
    0.839338    0.770521   0.0267875
    0.991945     0.70768   0.0384348
     1.14455    0.656441   0.0435337
     1.29716    0.569256   0.0514815
     1.44977    0.477635   0.0540527
     1.60237    0.306676   0.0383717
     1.75498     0.22598   0.0342116
     1.90759    0.181354   0.0278724
     2.06019    0.112021   0.0201063
      2.2128   0.0672031   0.0138397
     2.36541   0.0363335  0.00752238
     2.51802   0.0246167  0.00638735
     2.67062   0.0140898  0.00429916
     2.82323   0.0111202  0.00262308
     2.97584  0.00401122  0.00109631
     3.12844  0.00216741 0.000731001
     3.28105  0.00127078 0.000789199
     3.43366 0.000232583 0.000192341
     3.58626           0           0
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.175217    0.109794
     0.22891    0.295873   0.0875749
    0.381517    0.486935   0.0664529
    0.534124     0.61989   0.0415249
    0.686731    0.700049    0.031414
    0.839338    0.757086   0.0272708
    0.991945    0.714013   0.0351092
     1.14455    0.663026   0.0396753
     1.29716     0.57203    0.046408
     1.44977    0.493391    0.050892
     1.60237    0.317576   0.0360495
     1.75498    0.247556    0.036973
     1.90759    0.189776   0.0263267
     2.06019    0.125031    0.021904
      2.2128   0.0766554   0.0153479
     2.36541    0.049343   0.0140768
     2.51802   0.0280404  0.00660274
     2.67062   0.0163941  0.00444406
     2.82323   0.0134939  0.00326255
     2.97584  0.00617053  0.00227375
     3.12844  0.00320662  0.00118524
     3.28105  0.00161999 0.000783741
     3.43366 0.000339774 0.000200766
     3.58626 6.67413e-05 6.33163e-05
     3.73887           0           0
     3.89148           0           0
     4.04408           0           0
     4.19669           0           0
      4.3493           0           0
     4.50191           0           0
   0.0763035    0.159757    0.100895
     0.22891    0.275892   0.0818612
    0.381517    0.468645   0.0628784
    0.534124    0.609232   0.0390937
    0.686731       0.678   0.0354616
    0.839338    0.745972   0.0269614
    0.991945    0.714476   0.0319205
     1.14455    0.670107   0.0366949
     1.29716    0.576554    0.042409
     1.44977    0.512887   0.0498603
     1.60237    0.331894    0.035502
     1.75498    0.259268   0.0354184
     1.90759    0.199656   0.0257205
     2.06019    0.133389   0.0214482
      2.2128    0.082158   0.0149064
     2.36541   0.0550147   0.0138928
     2.51802   0.0304169  0.00641593
     2.67062   0.0194267  0.00496816
     2.82323   0.0169335  0.00442183
     2.97584  0.00690855  0.00218353
