#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.108964    0.108964           0
           2    0.105318    0.107141  0.00128906
           3     0.12041    0.111564  0.00371221
           4    0.115976    0.112667  0.00294346
           5    0.125714    0.115276  0.00331544
           6    0.080398    0.109463  0.00598274
           7    0.131832    0.112659  0.00592027
           8    0.110744    0.112419  0.00518508
           9    0.109594    0.112106  0.00461845
          10    0.107054      0.1116  0.00418414
          11    0.107452    0.111223  0.00382072
          12    0.126088    0.112462  0.00369769
          13     0.11863    0.112936  0.00344355
          14    0.117056    0.113231  0.00321013
          15    0.127316     0.11417  0.00313045
          16    0.090282    0.112677   0.0032715
          17    0.109566    0.112494  0.00308418
          18     0.10064    0.111835  0.00298231
          19    0.121668    0.112353   0.0028699
          20    0.105642    0.112017  0.00274595
