#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.399192    0.399192           0
           2     0.39455    0.396871  0.00164107
           3    0.398933    0.397559  0.00122958
           4    0.392939    0.396404   0.0013605
           5    0.392709    0.395665  0.00127331
           6    0.403629    0.396992  0.00161066
           7    0.394205    0.396594  0.00142894
           8    0.394048    0.396276  0.00128526
           9    0.399038    0.396583  0.00117854
          10    0.389836    0.395908  0.00123886
          11    0.397003    0.396008  0.00113023
          12    0.399614    0.396308  0.00107526
          13     0.39808    0.396444  0.00100115
          14    0.394457    0.396302 0.000939652
          15    0.394162     0.39616  0.00088778
          16    0.403341    0.396608 0.000938911
          17    0.400346    0.396828 0.000909056
          18    0.408527    0.397478  0.00106585
          19    0.403131    0.397776  0.00105045
          20    0.405673    0.398171  0.00106957
