#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.68577     5.68577           0
           2     5.80969     5.74773   0.0438123
           3     5.77765      5.7577   0.0303224
           4     5.44442     5.67938   0.0715381
           5     5.29324     5.60215   0.0897029
           6     5.55214     5.59382   0.0751387
           7     5.61021     5.59616   0.0644411
           8     5.60464     5.59722   0.0563947
           9     5.72548     5.61147   0.0518979
          10      5.5714     5.60746   0.0468626
          11     5.65816     5.61207   0.0428283
          12     5.41448     5.59561   0.0423063
          13     5.68452     5.60245    0.039601
          14     5.70496     5.60977   0.0374432
          15     5.46315     5.59999   0.0362003
          16     5.56708     5.59794   0.0339962
          17     5.49705       5.592   0.0325103
          18     5.54944     5.58964   0.0307901
          19     5.89829     5.60588   0.0331792
          20     5.68211     5.60969   0.0317384
