#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.11972     0.11972           0
           2    0.120938    0.120329 0.000430628
           3    0.136464    0.125707  0.00440076
           4    0.080594    0.114429   0.0103099
           5    0.093872    0.110318  0.00903058
           6    0.108422    0.110002    0.007531
           7     0.10885    0.109837  0.00645694
           8    0.142874    0.113967  0.00684416
           9    0.107588    0.113258  0.00612028
          10    0.110924    0.113025   0.0055127
          11    0.100546     0.11189  0.00512694
          12     0.12543    0.113018  0.00482226
          13     0.11889     0.11347  0.00447241
          14    0.125774    0.114349  0.00423842
          15     0.09532     0.11308  0.00414137
          16    0.108228    0.112777  0.00389362
          17     0.09634     0.11181  0.00378273
          18    0.105806    0.111477  0.00358726
          19    0.102184    0.110988  0.00343163
          20    0.097566    0.110316  0.00332502
