#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.401443    0.401443           0
           2    0.400697     0.40107 0.000263937
           3    0.393755    0.398632  0.00199864
           4    0.394949    0.397711  0.00169782
           5    0.395075    0.397184  0.00143777
           6    0.408357    0.399046  0.00207974
           7    0.392409    0.398098  0.00198704
           8    0.392697    0.397423  0.00184979
           9    0.399598    0.397664  0.00165997
          10    0.395126    0.397411  0.00151325
          11    0.381317    0.395948  0.00195919
          12    0.390532    0.395496  0.00184717
          13    0.393468     0.39534  0.00171166
          14    0.401017    0.395746  0.00163672
          15    0.389661     0.39534  0.00157708
          16     0.38832    0.394901  0.00153834
          17    0.398201    0.395095  0.00146004
          18    0.404364     0.39561  0.00146692
          19    0.398591    0.395767  0.00139808
          20    0.392381    0.395598  0.00133839
