#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.74837     5.74837           0
           2     5.89464     5.82151   0.0517139
           3     6.02103     5.88801   0.0643222
           4     5.52105     5.79627   0.0929488
           5     5.42141      5.7213    0.100129
           6     5.78961     5.73268   0.0840856
           7     5.44152     5.69109   0.0817163
           8     5.34412     5.64772   0.0822095
           9     5.61519      5.6441   0.0731545
          10     5.13142     5.59284   0.0818558
          11     5.45848     5.58062   0.0753202
          12     5.53013     5.57641   0.0691609
          13     5.35341     5.55926    0.065934
          14     5.59958     5.56214   0.0612873
          15     5.38333     5.55022   0.0583492
          16     5.59775     5.55319   0.0547779
          17     5.77412     5.56619   0.0530749
          18     5.65854     5.57132   0.0503737
          19     5.84736     5.58585   0.0497735
          20     5.36948     5.57503   0.0484462
